points,x,y,z,p
189.0,274.19354838709677,0.0,150.0,0.0019898
190.0,274.19354838709677,0.0,-150.0,0.0019898
191.0,0.0,0.0,147.09677419354838,0.0054029
192.0,0.0,0.0,-147.09677419354838,0.0054029
193.0,3.191272430668842,0.0,147.09677419354838,0.0040548
194.0,3.191272430668842,0.0,-147.09677419354838,0.0040548
195.0,5.744290375203915,0.0,147.09677419354838,0.0043687
196.0,5.744290375203915,0.0,-147.09677419354838,0.0043687
197.0,8.935562805872756,0.0,147.09677419354838,0.0052504000000000006
198.0,8.935562805872756,0.0,-147.09677419354838,0.0052504000000000006
199.0,11.48858075040783,0.0,147.09677419354838,0.0064647
200.0,11.48858075040783,0.0,-147.09677419354838,0.0064647
201.0,14.679853181076671,0.0,147.09677419354838,0.007807000000000001
202.0,14.679853181076671,0.0,-147.09677419354838,0.007807000000000001
203.0,17.871125611745512,0.0,147.09677419354838,0.0091623
204.0,17.871125611745512,0.0,-147.09677419354838,0.0091623
205.0,20.424143556280587,0.0,147.09677419354838,0.010439900000000002
206.0,20.424143556280587,0.0,-147.09677419354838,0.010439900000000002
207.0,23.615415986949426,0.0,147.09677419354838,0.011568100000000001
208.0,23.615415986949426,0.0,-147.09677419354838,0.011568100000000001
209.0,26.1684339314845,0.0,147.09677419354838,0.0124991
210.0,26.1684339314845,0.0,-147.09677419354838,0.0124991
211.0,29.359706362153343,0.0,147.09677419354838,0.0132242
212.0,29.359706362153343,0.0,-147.09677419354838,0.0132242
213.0,31.912724306688418,0.0,147.09677419354838,0.0137589
214.0,31.912724306688418,0.0,-147.09677419354838,0.0137589
215.0,35.10399673735726,0.0,147.09677419354838,0.0141077
216.0,35.10399673735726,0.0,-147.09677419354838,0.0141077
217.0,38.295269168026095,0.0,147.09677419354838,0.014295800000000001
218.0,38.295269168026095,0.0,-147.09677419354838,0.014295800000000001
219.0,40.848287112561174,0.0,147.09677419354838,0.014357600000000002
220.0,40.848287112561174,0.0,-147.09677419354838,0.014357600000000002
221.0,44.03955954323001,0.0,147.09677419354838,0.014340100000000001
222.0,44.03955954323001,0.0,-147.09677419354838,0.014340100000000001
223.0,46.59257748776509,0.0,147.09677419354838,0.01429
224.0,46.59257748776509,0.0,-147.09677419354838,0.01429
225.0,49.78384991843393,0.0,147.09677419354838,0.0142626
226.0,49.78384991843393,0.0,-147.09677419354838,0.0142626
227.0,52.97512234910277,0.0,147.09677419354838,0.0140225
228.0,52.97512234910277,0.0,-147.09677419354838,0.0140225
229.0,55.52814029363785,0.0,147.09677419354838,0.0137905
230.0,55.52814029363785,0.0,-147.09677419354838,0.0137905
231.0,58.719412724306686,0.0,147.09677419354838,0.013754500000000001
232.0,58.719412724306686,0.0,-147.09677419354838,0.013754500000000001
233.0,61.27243066884176,0.0,147.09677419354838,0.0135033
234.0,61.27243066884176,0.0,-147.09677419354838,0.0135033
235.0,64.4637030995106,0.0,147.09677419354838,0.0132707
236.0,64.4637030995106,0.0,-147.09677419354838,0.0132707
237.0,67.65497553017944,0.0,147.09677419354838,0.0130677
238.0,67.65497553017944,0.0,-147.09677419354838,0.0130677
239.0,70.20799347471451,0.0,147.09677419354838,0.012816800000000001
240.0,70.20799347471451,0.0,-147.09677419354838,0.012816800000000001
241.0,73.39926590538336,0.0,147.09677419354838,0.0126361
242.0,73.39926590538336,0.0,-147.09677419354838,0.0126361
243.0,75.95228384991844,0.0,147.09677419354838,0.0124191
244.0,75.95228384991844,0.0,-147.09677419354838,0.0124191
245.0,79.14355628058728,0.0,147.09677419354838,0.012180100000000001
